"ASV","anova_pval","anova_sig","any_pairwise_sig","anova_pval_fdr"
"ASV1",0.4789,FALSE,FALSE,0.863356363636364
"ASV10",0.1387,FALSE,FALSE,0.769818181818182
"ASV100",0.6217,FALSE,FALSE,0.885135616438356
"ASV101",0.1414,FALSE,FALSE,0.769818181818182
"ASV102",0.2749,FALSE,FALSE,0.863356363636364
"ASV103",0.4508,FALSE,FALSE,0.863356363636364
"ASV106",0.7278,FALSE,FALSE,0.885135616438356
"ASV109",0.3607,FALSE,FALSE,0.863356363636364
"ASV11",0.164,FALSE,FALSE,0.773124324324324
"ASV110",0.5908,FALSE,FALSE,0.885135616438356
"ASV111",0.7095,FALSE,FALSE,0.885135616438356
"ASV112",0.5233,FALSE,FALSE,0.863356363636364
"ASV113",0.0211,FALSE,TRUE,0.3828
"ASV114",0.3896,FALSE,FALSE,0.863356363636364
"ASV117",0.5266,FALSE,FALSE,0.863356363636364
"ASV118",0.6852,FALSE,FALSE,0.885135616438356
"ASV119",0.545,FALSE,FALSE,0.863356363636364
"ASV12",0.5276,FALSE,FALSE,0.863356363636364
"ASV120",1,FALSE,FALSE,1
"ASV121",0.1414,FALSE,FALSE,0.769818181818182
"ASV123",0.0361,FALSE,FALSE,0.483184615384615
"ASV125",0.9516,FALSE,FALSE,1
"ASV126",0.1644,FALSE,FALSE,0.773124324324324
"ASV127",0.7682,FALSE,FALSE,0.897092617449665
"ASV128",0.5389,FALSE,FALSE,0.863356363636364
"ASV13",0.3838,FALSE,FALSE,0.863356363636364
"ASV131",0.4767,FALSE,FALSE,0.863356363636364
"ASV132",0.3353,FALSE,FALSE,0.863356363636364
"ASV134",0.7105,FALSE,FALSE,0.885135616438356
"ASV135",0.3352,FALSE,FALSE,0.863356363636364
"ASV136",1,FALSE,FALSE,1
"ASV137",1,FALSE,FALSE,1
"ASV138",0.6428,FALSE,FALSE,0.885135616438356
"ASV139",0.4897,FALSE,FALSE,0.863356363636364
"ASV14",1e-04,TRUE,TRUE,0.0174
"ASV140",0.3315,FALSE,FALSE,0.863356363636364
"ASV142",0.3299,FALSE,FALSE,0.863356363636364
"ASV143",0.7138,FALSE,FALSE,0.885135616438356
"ASV144",0.5934,FALSE,FALSE,0.885135616438356
"ASV145",0.1569,FALSE,FALSE,0.773124324324324
"ASV147",0.9352,FALSE,FALSE,1
"ASV148",0.0235,FALSE,FALSE,0.3828
"ASV149",0.1897,FALSE,FALSE,0.825195
"ASV15",0.3271,FALSE,FALSE,0.863356363636364
"ASV151",0.7175,FALSE,FALSE,0.885135616438356
"ASV152",0.5233,FALSE,FALSE,0.863356363636364
"ASV153",0.1215,FALSE,FALSE,0.769818181818182
"ASV154",0.116,FALSE,FALSE,0.769818181818182
"ASV155",0.7337,FALSE,FALSE,0.885135616438356
"ASV156",0.4125,FALSE,FALSE,0.863356363636364
"ASV157",0.3313,FALSE,FALSE,0.863356363636364
"ASV158",0.5056,FALSE,FALSE,0.863356363636364
"ASV159",0.562,FALSE,FALSE,0.880972972972973
"ASV16",0.7427,FALSE,FALSE,0.885135616438356
"ASV160",0.7379,FALSE,FALSE,0.885135616438356
"ASV161",0.0955,FALSE,FALSE,0.769818181818182
"ASV162",0.1278,FALSE,FALSE,0.769818181818182
"ASV163",0.3021,FALSE,FALSE,0.863356363636364
"ASV164",0.2385,FALSE,FALSE,0.863356363636364
"ASV165",0.9751,FALSE,FALSE,1
"ASV166",0.3028,FALSE,FALSE,0.863356363636364
"ASV167",0.3107,FALSE,FALSE,0.863356363636364
"ASV168",0.4529,FALSE,FALSE,0.863356363636364
"ASV17",0.146,FALSE,FALSE,0.769818181818182
"ASV170",0.905,FALSE,FALSE,1
"ASV172",0.0167,FALSE,TRUE,0.3828
"ASV173",0.3281,FALSE,FALSE,0.863356363636364
"ASV174",0.1426,FALSE,FALSE,0.769818181818182
"ASV175",0.4817,FALSE,FALSE,0.863356363636364
"ASV176",1,FALSE,FALSE,1
"ASV18",0.8743,FALSE,FALSE,0.980311538461539
"ASV180",0.0275,FALSE,FALSE,0.39875
"ASV181",0.0242,FALSE,FALSE,0.3828
"ASV182",0.715,FALSE,FALSE,0.885135616438356
"ASV183",0.6513,FALSE,FALSE,0.885135616438356
"ASV184",0.6893,FALSE,FALSE,0.885135616438356
"ASV185",0.1692,FALSE,FALSE,0.774757894736842
"ASV186",0.5112,FALSE,FALSE,0.863356363636364
"ASV187",0.9774,FALSE,FALSE,1
"ASV188",0.3115,FALSE,FALSE,0.863356363636364
"ASV189",0.1615,FALSE,FALSE,0.773124324324324
"ASV190",0.711,FALSE,FALSE,0.885135616438356
"ASV198",0.1185,FALSE,FALSE,0.769818181818182
"ASV199",0.0219,FALSE,FALSE,0.3828
"ASV2",0.1857,FALSE,FALSE,0.825195
"ASV20",0.7149,FALSE,FALSE,0.885135616438356
"ASV200",0.3513,FALSE,FALSE,0.863356363636364
"ASV201",0.5685,FALSE,FALSE,0.883205357142857
"ASV202",0.5458,FALSE,FALSE,0.863356363636364
"ASV203",0.519,FALSE,FALSE,0.863356363636364
"ASV204",0.5372,FALSE,FALSE,0.863356363636364
"ASV205",0.4561,FALSE,FALSE,0.863356363636364
"ASV206",1,FALSE,FALSE,1
"ASV207",0.7326,FALSE,FALSE,0.885135616438356
"ASV208",0.3106,FALSE,FALSE,0.863356363636364
"ASV209",0.42,FALSE,FALSE,0.863356363636364
"ASV21",0.4609,FALSE,FALSE,0.863356363636364
"ASV210",0.4977,FALSE,FALSE,0.863356363636364
"ASV211",0.4932,FALSE,FALSE,0.863356363636364
"ASV212",1,FALSE,FALSE,1
"ASV215",1,FALSE,FALSE,1
"ASV216",0.1459,FALSE,FALSE,0.769818181818182
"ASV217",0.3324,FALSE,FALSE,0.863356363636364
"ASV218",0.5137,FALSE,FALSE,0.863356363636364
"ASV219",0.7141,FALSE,FALSE,0.885135616438356
"ASV22",0.3681,FALSE,FALSE,0.863356363636364
"ASV220",0.5746,FALSE,FALSE,0.884782300884956
"ASV221",0.7219,FALSE,FALSE,0.885135616438356
"ASV222",0.3861,FALSE,FALSE,0.863356363636364
"ASV223",1,FALSE,FALSE,1
"ASV224",0.2589,FALSE,FALSE,0.863356363636364
"ASV225",0.6129,FALSE,FALSE,0.885135616438356
"ASV226",0.7482,FALSE,FALSE,0.885624489795918
"ASV227",0.1443,FALSE,FALSE,0.769818181818182
"ASV228",0.5019,FALSE,FALSE,0.863356363636364
"ASV229",0.5234,FALSE,FALSE,0.863356363636364
"ASV23",0.4305,FALSE,FALSE,0.863356363636364
"ASV230",1,FALSE,FALSE,1
"ASV231",0.1428,FALSE,FALSE,0.769818181818182
"ASV24",0.2496,FALSE,FALSE,0.863356363636364
"ASV25",0.0238,FALSE,FALSE,0.3828
"ASV26",0.7221,FALSE,FALSE,0.885135616438356
"ASV27",0.1254,FALSE,FALSE,0.769818181818182
"ASV28",0.1382,FALSE,FALSE,0.769818181818182
"ASV29",0.4848,FALSE,FALSE,0.863356363636364
"ASV3",0.0197,FALSE,TRUE,0.3828
"ASV30",0.7406,FALSE,FALSE,0.885135616438356
"ASV31",0.0708,FALSE,FALSE,0.769818181818182
"ASV32",2e-04,TRUE,TRUE,0.0174
"ASV35",0.2848,FALSE,FALSE,0.863356363636364
"ASV37",0.6645,FALSE,FALSE,0.885135616438356
"ASV38",0.8789,FALSE,FALSE,0.980311538461539
"ASV39",0.376,FALSE,FALSE,0.863356363636364
"ASV4",0.5009,FALSE,FALSE,0.863356363636364
"ASV40",0.4228,FALSE,FALSE,0.863356363636364
"ASV41",0.1969,FALSE,FALSE,0.835624390243902
"ASV42",0.4907,FALSE,FALSE,0.863356363636364
"ASV44",0.267,FALSE,FALSE,0.863356363636364
"ASV45",0.3095,FALSE,FALSE,0.863356363636364
"ASV46",0.3367,FALSE,FALSE,0.863356363636364
"ASV47",0.7354,FALSE,FALSE,0.885135616438356
"ASV48",0.4124,FALSE,FALSE,0.863356363636364
"ASV49",0.2483,FALSE,FALSE,0.863356363636364
"ASV5",0.2531,FALSE,FALSE,0.863356363636364
"ASV51",0.7611,FALSE,FALSE,0.894806756756757
"ASV52",0.7081,FALSE,FALSE,0.885135616438356
"ASV53",0.837,FALSE,FALSE,0.958144736842105
"ASV54",0.3606,FALSE,FALSE,0.863356363636364
"ASV55",1,FALSE,FALSE,1
"ASV57",0.0196,FALSE,TRUE,0.3828
"ASV59",0.7391,FALSE,FALSE,0.885135616438356
"ASV6",0.0189,FALSE,TRUE,0.3828
"ASV60",0.6651,FALSE,FALSE,0.885135616438356
"ASV61",0.5862,FALSE,FALSE,0.885135616438356
"ASV63",0.7364,FALSE,FALSE,0.885135616438356
"ASV65",0.7145,FALSE,FALSE,0.885135616438356
"ASV66",0.396,FALSE,FALSE,0.863356363636364
"ASV67",0.8675,FALSE,FALSE,0.980162337662338
"ASV69",0.0619,FALSE,FALSE,0.769328571428571
"ASV7",0.1303,FALSE,FALSE,0.769818181818182
"ASV72",0.3778,FALSE,FALSE,0.863356363636364
"ASV75",0.1423,FALSE,FALSE,0.769818181818182
"ASV77",0.9533,FALSE,FALSE,1
"ASV79",0.9742,FALSE,FALSE,1
"ASV8",0.979,FALSE,FALSE,1
"ASV85",0.4766,FALSE,FALSE,0.863356363636364
"ASV86",0.82,FALSE,FALSE,0.944900662251655
"ASV87",0.3008,FALSE,FALSE,0.863356363636364
"ASV88",0.7029,FALSE,FALSE,0.885135616438356
"ASV9",0.8531,FALSE,FALSE,0.970192156862745
"ASV93",0.8102,FALSE,FALSE,0.939832
"ASV96",0.1458,FALSE,FALSE,0.769818181818182
"ASV97",0.3581,FALSE,FALSE,0.863356363636364
"ASV99",0.506,FALSE,FALSE,0.863356363636364
