"","Sample_ID","Target","Ct","SD"
"1","L1","UV",26.5637367232398,0.378357704069194
"2","L10","UV",19.926030023425,0.0476139450861438
"3","L11","UV",22.4105395717122,0.205381615269032
"4","L12","UV",21.5529019148579,0.0394523798437017
"5","L13","UV",23.7212259002318,0.318053340598233
"6","L14","UV",20.7268576920479,0.109858376877126
"7","L15","UV",28.6948928582919,0.0817239395931143
"8","L16","UV",24.1360023924448,0.0175158707236704
"9","L17","UV",26.4047174886553,0.101575663613325
"10","L18","UV",25.0438085457936,0.0299356223885808
"11","L19","UV",27.5482364899135,0.342084109818211
"12","L2","UV",26.2742459669418,0.171930228401806
"13","L20","UV",22.2186723725002,0.173965292722025
"14","L21","UV",23.4854313690438,0.136391665312341
"15","L22","UV",27.022110280461,0.0595755438403107
"16","L23","UV",22.1065510239533,0.0346209084740717
"17","L24","UV",25.1207387215434,0.446553732541512
"18","L25","UV",20.9133465608745,0.0719672767511776
"19","L26","UV",28.1163499499429,0.0611912363040696
"20","L27","UV",18.2347451435829,0.113489098321178
"21","L28","UV",21.8261313186705,0.119630756491376
"22","L29","UV",25.7359757297078,0.295982902295015
"23","L3","UV",25.4457976799708,0.131334958040868
"24","L30","UV",26.4758601547772,0.173601657483609
"25","L31","UV",24.3173824719733,0.115643328849873
"26","L4","UV",28.9282114979066,0.168082723563264
"27","L5","UV",24.560375770301,0.0497356370476112
"28","L6","UV",27.1916881527617,0.363280556361452
"29","L7","UV",23.0063231014813,0.0979648021559436
"30","L8","UV",24.9837131865682,0.125327159935717
"31","L9","UV",25.7468472113944,0.0155003524369098
"32","WATER","UV",28.9819549832,0.235287466464291
"33","B1","UV",28.1909926995275,0.0693237164439478
"34","B2","UV",28.5897641543128,0.298216376748884
"35","B3","UV",27.8875720611072,0.947036346951124
"36","B4","UV",28.672535710147,0.162220940613199
"37","L32","UV",23.4890167480605,0.24971127635342
"38","L33","UV",25.9339544716253,0.315161328177695
"39","L34","UV",25.1241897563668,0.0951314172239571
"40","L35","UV",23.7409697968309,0.0863346689980072
"41","L36","UV",21.7277228951199,0.355288465222118
"42","L37","UV",28.5443522502507,0.401372910372137
"43","L38","UV",21.9849302457228,0.205686975624581
"44","L39","UV",21.8941150082852,0.0520657438225183
"45","L40","UV",28.6107195583091,0.106029672218624
"46","L41","UV",25.4213357318501,0.0683886657134018
"47","L42","UV",27.8377084435218,0.284246487545678
"48","L43","UV",26.7711018663158,0.223511083012345
"49","L44","UV",25.1259611733913,0.0469674348791661
"50","L45","UV",22.8548604458085,0.0280723755828146
"51","L46","UV",31.8995812857209,0.581966831798824
"52","L47","UV",17.5453834385874,0.128552666896056
"53","L48","UV",30.734372049754,0.352639729787612
"54","L49","UV",22.6393748921088,0.184388442909257
"55","WATER","UV",30.543122872743,0.79285130960258
